Scientific Name,English Name,Family,Feeding Path,Feeding Path Level,Calcium (mg/100g),Calcium L95,Calcium U95,Iron (mg/100g),Iron L95,Iron U95,Total Omega-3 PUFA (g/100g),Omega3 L95,Omega3 U95,Protein (g/100g),Protein L95,Protein U95,Selenium (μg/100g),Selenium L95,Selenium U95,Vitamin A (μg/100g),VitaminA L95,VitaminA U95,Zinc (mg/100g),Zinc L95,Zinc U95
Lepidocybium flavobrunneum,Escolar,Gempylidae,pelagic,species,"7.33","3.81","15.92","0.279","0.128","0.578","0.33","0.19","0.60","17.1","14.9","19.0","29.2","12.6","64.6","11.8","2.8","50.1","0.25","0.17","0.37"
Lepomis macrochirus,Bluegill,Centrarchidae,benthic,species,"53.9","28.4","111.3","1.02","0.62","1.78","0.397","0.164","1.023","18.4","16.4","20.4","26","10","63","20.6","6.4","59.4","1.06","0.71","1.62"
Lepophidium brevibarbe,Shortbeard cusk-eel,Ophidiidae,benthic,genus,"188","106","364","1.34","0.81","2.20","0.196","0.102","0.359","16","13","18","62.4","30.3","133.6","36.3","12.5","104.3","1.2","0.9","1.7"
Lestidiops affinis,Barracudina,Lestidiidae,pelagic,species,"63.7","21.1","217.2","0.494","0.166","1.592","0.135","0.035","0.439","15.6","12.5","18.2","15.9","4.5","46.6","47.7","5.2","381.9","0.638","0.333","1.282"
Lestidiops jayakari,Pacific barracudina,Lestidiidae,pelagic,genus,"43.3","14.1","136.2","0.411","0.138","1.304","0.125","0.033","0.402","15.8","12.7","18.3","16.9","5.0","48.2","39.7","4.3","330.3","0.513","0.270","1.026"
Lobianchia dofleini,Dofleini's lantern fish,Myctophidae,pelagic,species,"158","50","518","0.893","0.333","2.809","0.622","0.225","1.696","16.8","14.9","18.6","19","6","56","65.8","8.8","469.5","1.13","0.56","2.46"
Lobianchia gemellarii,Cocco's lantern fish,Myctophidae,pelagic,species,"153","42","434","0.666","0.242","2.120","0.328","0.110","0.932","16.4","14.5","18.1","12.1","3.5","39.2","92.6","11.2","779.0","1.04","0.52","2.24"
Lobotes surinamensis,Tripletail,Lobotidae,benthic,species,"40.9","22.2","78.7","0.898","0.479","1.629","0.268","0.148","0.487","18.8","17.8","19.8","38.5","19.2","86.9","6.77","1.92","27.07","0.522","0.349","0.798"
Lophius gastrophysus,Blackfin goosefish,Lophiidae,pelagic,species,"22.2","10.8","46.4","0.462","0.241","0.856","0.32","0.14","0.78","19.9","16.3","22.5","11.5","4.0","36.6","16.6","3.8","76.5","0.23","0.12","0.75"
Luciopimelodus pati,Pati,Pimelodidae,pelagic,species,"45.1","19.3","104.9","1.37","0.70","2.92","0.36","0.15","0.86","17.4","16.0","18.8","45","19","98","18.3","6.1","57.8","0.84","0.57","1.26"
Lutjanus alexandrei,,Lutjanidae,benthic,genus,"128","76","279","0.649","0.366","1.246","0.236","0.129","0.407","17.5","16.0","19.1","71.9","35.8","149.1","67.7","12.1","339.4","0.553","0.362","0.862"
Lutjanus analis,Mutton snapper,Lutjanidae,benthic,species,"21.2","13.4","30.4","0.272","0.176","0.416","0.132","0.097","0.176","18.8","17.4","20.1","73.1","47.5","107.3","99.9","18.4","354.4","0.443","0.357","0.594"
Lutjanus apodus,Schoolmaster snapper,Lutjanidae,benthic,species,"17.6","9.5","30.2","0.333","0.194","0.618","0.21","0.12","0.36","19.6","18.1","21.0","28.8","14.3","56.3","90.2","15.2","455.2","0.26","0.18","0.40"
Lutjanus buccanella,Blackfin snapper,Lutjanidae,pelagic,species,"17.7","9.4","27.6","0.317","0.183","0.541","0.214","0.132","0.353","19.3","17.8","20.7","40.5","22.1","74.1","56.3","10.1","268.9","0.248","0.178","0.379"
Lutjanus cyanopterus,Cubera snapper,Lutjanidae,pelagic,species,"10.6","5.5","17.3","0.27","0.16","0.49","0.179","0.101","0.309","19.7","18.1","21.0","33","16","63","76.1","12.6","374.0","0.225","0.158","0.353"
Lutjanus griseus,Grey snapper,Lutjanidae,benthic,species,"14.7","8.0","24.0","0.307","0.183","0.560","0.222","0.132","0.370","19.5","18.0","20.8","36.3","18.3","68.1","92.6","15.6","438.0","0.255","0.181","0.390"
Lutjanus jocu,Dog snapper,Lutjanidae,benthic,species,"11.5","5.9","19.1","0.269","0.156","0.499","0.176","0.097","0.305","19.6","18.0","20.9","28.8","13.9","56.2","96.7","15.9","482.1","0.254","0.176","0.396"
Lutjanus mahogoni,Mahogany snapper,Lutjanidae,pelagic,species,"19.4","10.5","31.8","0.329","0.197","0.581","0.208","0.126","0.343","19","18","20","28.1","13.7","51.9","174","31","851","0.272","0.192","0.417"
Lutjanus purpureus,Southern red snapper,Lutjanidae,pelagic,species,"55","29","111","0.512","0.286","1.003","0.209","0.119","0.358","17.6","16.0","19.1","161","77","341","25.5","4.6","118.8","0.399","0.255","0.618"
Lutjanus synagris,Lane snapper,Lutjanidae,benthic,species,"18.2","9.6","27.7","0.312","0.183","0.527","0.23","0.14","0.37","19.1","17.6","20.5","43.6","23.5","75.3","70.1","12.9","318.5","0.272","0.198","0.406"
Lutjanus vivanus,Silk snapper,Lutjanidae,benthic,species,"14","7","23","0.283","0.165","0.486","0.178","0.106","0.300","18.7","17.2","20.2","43.5","22.3","82.9","65.2","11.3","329.9","0.326","0.234","0.494"
Luvarus imperialis,Luvar,Luvaridae,pelagic,species,"34.8","20.5","57.3","1.14","0.70","1.78","0.338","0.212","0.543","19.7","18.7","20.6","37.7","21.8","70.6","6.98","2.64","18.68","0.468","0.336","0.653"
Lycengraulis grossidens,Atlantic sabretooth anchovy,Engraulidae,benthic,species,"117","67","246","1.64","0.93","2.82","0.718","0.413","1.409","19.7","18.3","21.2","15.1","7.6","31.0","20.2","6.2","55.2","1.05","0.73","1.51"
Macrodon ancylodon,King weakfish,Sciaenidae,pelagic,species,"80","44","160","1.06","0.56","1.87","0.375","0.187","0.777","19.3","17.8","20.9","21.7","11.4","43.3","20.9","7.2","70.2","0.774","0.547","1.132"
Macrodon atricauda,Southern King Weakfish,Sciaenidae,pelagic,genus,"157","92","332","1.26","0.63","2.18","0.24","0.11","0.52","18.7","17.1","20.4","65.6","33.7","126.9","13.2","4.6","39.9","1.07","0.76","1.55"
Macroramphosus scolopax,Longspine snipefish,Centriscidae,benthic,species,"110","58","243","1.23","0.67","2.37","0.456","0.247","0.880","17.8","16.5","19.1","36.1","17.7","78.4","11.3","3.0","42.8","0.741","0.499","1.099"
Magnisudis atlantica,Duckbill barracudina,Paralepididae,pelagic,species,"23.2","10.6","67.7","0.58","0.21","1.36","0.243","0.077","0.655","15.3","12.3","17.7","28.7","8.4","79.2","7.9","1.4","44.7","0.347","0.208","0.564"
Makaira nigricans,Blue marlin,Istiophoridae,pelagic,species,"23.3","9.7","43.0","0.898","0.478","1.711","0.245","0.123","0.499","19.8","18.5","21.0","71.6","34.5","159.4","3.61","0.99","13.41","0.283","0.180","0.446"
Malacanthus plumieri,Sand tilefish,Malacanthidae,benthic,species,"20.7","9.7","39.6","0.43","0.24","0.74","0.134","0.076","0.234","18.8","16.6","20.8","23.3","11.2","46.6","41.7","13.2","131.8","0.7","0.5","1.0"
Malacocephalus laevis,Softhead grenadier,Macrouridae,benthic,species,"19.5","11.4","49.2","0.413","0.190","0.856","0.211","0.102","0.439","16.4","14.7","18.1","21.6","8.4","53.6","17.4","3.5","83.1","0.395","0.249","0.636"
Malacoctenus delalandii,Brazilian blenny,Labrisomidae,benthic,species,"146","72","238","0.757","0.435","1.292","0.0978","null","null","18.2","17.1","19.3","22.2","9.4","48.7","181","57","582","2.25","1.47","3.24"
Malacoctenus triangulatus,Saddled blenny,Labrisomidae,benthic,species,"75.4","33.0","164.9","0.804","0.436","1.431","0.263","0.143","0.481","19.4","18.3","20.5","10.5","4.3","22.4","124","37","429","1.45","0.88","2.25"
Malacosteus niger,Stoplight loosejaw,Stomiidae,pelagic,species,"21.5","5.0","87.9","0.37","0.11","1.20","0.196","0.058","0.656","2.95","0.00","6.86","13.2","3.7","54.7","28.6","3.3","228.1","0.55","0.25","1.37"
Manducus maderensis,,Gonostomatidae,benthic,species,"19.9","4.5","82.4","0.346","0.101","1.157","0.157","0.047","0.531","2.87","0.00","6.80","9.66","2.75","38.24","32.5","4.1","259.4","0.612","0.274","1.507"
Megaleporinus macrocephalus,,Anostomidae,benthic,genus,"77.1","22.2","187.0","1.12","0.49","2.53","0.169","0.060","0.464","17.6","15.5","20.0","50.1","18.9","121.7","38.1","9.7","118.7","2.22","1.48","3.31"
Megaleporinus obtusidens,,Anostomidae,benthic,species,"43.2","8.4","104.9","0.983","0.444","2.393","0.277","0.104","0.741","18.6","16.5","21.0","21.6","7.7","57.4","28","8","94","1.24","0.81","1.89"
Megalonema platanum,,Pimelodidae,pelagic,genus,"72.9","26.4","215.3","1.5","0.8","3.2","0.511","0.219","1.236","17.8","16.5","19.2","31.1","12.1","71.9","37.7","12.3","119.8","0.778","0.511","1.173"
Megalops atlanticus,Tarpon,Megalopidae,pelagic,species,"8.83","4.70","21.29","0.421","0.226","0.795","0.21","0.11","0.40","19.5","16.7","22.0","21.2","9.5","44.3","33","9","118","0.458","0.310","0.701"
Melanonus zugmayeri,Arrowtail,Melanonidae,,,"37.7","10.5","90.2","0.33","0.14","0.93","0.138","0.051","0.358","17.3","15.7","18.9","19.5","6.2","51.9","30.8","3.5","254.1","0.626","0.338","1.273"
Melanostomias bartonbeani,Scaleless black dragonfish,Stomiidae,pelagic,species,"20","5","82","0.385","0.120","1.266","0.19","0.06","0.69","3.09","0.00","7.02","10.5","3.0","41.8","55","7","439","0.451","0.201","1.103"
Melichthys niger,Black triggerfish,Balistidae,pelagic,species,"22.1","8.5","59.3","0.571","0.293","1.352","0.15","0.08","0.31","18.7","16.5","20.9","21","9","49","24","5","107","0.775","0.488","1.276"
Menticirrhus americanus,Southern kingcroaker,Sciaenidae,benthic,species,"78.1","44.9","148.7","0.951","0.511","1.649","0.326","0.192","0.520","21.2","19.2","23.5","22","12","41","11.7","4.4","35.5","0.867","0.647","1.267"
Menticirrhus littoralis,Gulf kingcroaker,Sciaenidae,benthic,species,"83.8","47.1","161.3","0.977","0.519","1.751","0.337","0.195","0.549","21.4","19.5","23.7","20","11","39","11.8","4.2","39.0","0.799","0.572","1.159"
Merluccius hubbsi,Argentine hake,Merlucciidae,benthic,species,"7.82","4.21","23.00","0.186","0.070","0.427","0.243","0.148","0.389","17","16","18","31.6","14.8","68.8","21.8","6.1","78.8","0.308","0.217","0.436"
Metynnis maculatus,Spotted metynnis,Serrasalmidae,benthic,species,"195","88","504","2.78","1.29","6.88","0.469","0.165","1.385","18.6","16.4","20.9","67.9","23.8","199.1","19.2","5.6","67.6","2.12","1.34","3.31"
Micrognathus crinitus,Banded pipefish,Syngnathidae,benthic,family,"80","38","191","0.927","0.464","1.736","0.171","0.088","0.330","18.7","17.4","19.9","15.3","6.4","38.2","45","13","164","1.21","0.73","1.96"
Microgobius carri,Seminole goby,Gobiidae,benthic,genus,"83.6","33.3","182.1","0.747","0.330","1.528","0.144","0.058","0.300","18.6","16.6","20.4","11.9","4.8","29.9","80.7","18.5","321.2","1.33","0.78","2.22"
Micropogonias furnieri,Whitemouth croaker,Sciaenidae,benthic,species,"82.4","47.1","158.8","1.07","0.58","1.86","0.265","0.134","0.513","20","18","22","28.3","15.5","53.0","7.34","2.76","23.48","0.86","0.63","1.26"
Micropterus salmoides,Largemouth black bass,Centrarchidae,benthic,species,"37.3","15.6","73.2","0.919","0.527","1.527","0.481","0.197","1.182","19.3","17.2","21.3","28.9","11.5","68.9","19.5","6.5","59.1","0.852","0.603","1.246"
Microspathodon chrysurus,Yellowtail damselfish,Pomacentridae,benthic,species,"44.9","18.7","74.8","0.645","0.367","1.193","0.166","0.091","0.301","18.7","17.4","19.9","17.6","8.0","37.8","37.2","7.7","166.9","1.07","0.66","1.70"
Mobula birostris,Giant manta,Mobulidae,pelagic,species,"2.4","0.4","10.8","0.339","0.080","0.946","0.1","0.0","0.4","23","18","28","26.2","7.4","97.2","10.6","3.1","37.8","0.305","0.144","0.613"
Mobula japanica,Spinetail mobula,Mobulidae,pelagic,species,"2.5","0.3","39.7","0.39","0.03","4.65","0.111","0.035","0.336","21.4","16.2","26.7","28.3","5.3","165.3","9.7","0.8","119.6","0.322","0.021","3.683"
Mobula thurstoni,Smoothtail mobula,Mobulidae,pelagic,species,"7.99","1.05","135.60","0.83","0.08","10.24","0.157","0.047","0.501","20.6","15.3","25.9","22.8","4.7","120.5","4.56","0.35","57.84","0.483","0.030","5.484"
Mola mola,Ocean sunfish,Molidae,pelagic,species,"19.4","7.7","46.5","0.967","0.481","2.428","0.248","0.113","0.569","18.7","16.3","21.0","57.6","22.6","165.5","3.53","0.76","16.47","0.381","0.234","0.617"
Monacanthus ciliatus,Fringed filefish,Monacanthidae,benthic,species,"35.8","14.4","118.8","0.713","0.328","1.784","0.162","0.073","0.328","18.6","16.3","20.8","15.5","6.4","37.2","38.6","9.1","169.8","0.952","0.572","1.628"
Moringua edwardsi,Spaghetti eel,Moringuidae,benthic,species,"50","20","135","0.584","0.290","1.102","0.203","0.081","0.560","19.1","16.8","21.6","10.4","4.1","25.2","114","26","489","1.4","0.8","2.2"
Mugil cephalus,Flathead grey mullet,Mugilidae,benthic,species,"102","37","281","1.92","0.31","9.44","0.462","0.196","1.091","19.6","18.1","21.0","68.3","27.6","201.8","7.56","2.17","26.41","1.55","0.73","3.87"
Mugil curema,White mullet,Mugilidae,benthic,species,"41.8","12.1","129.8","1.16","0.21","6.72","0.289","0.115","0.777","20.4","18.6","22.0","47.2","14.8","166.0","23.8","5.1","118.5","1.75","0.78","4.50"
Mugil incilis,Parassi mullet,Mugilidae,benthic,species,"482","175","1,568","3.8","0.7","17.5","0.359","0.158","0.859","19.2","17.6","20.7","150","48","491","7.99","2.21","28.34","3.19","1.47","7.74"
Mugil liza,Lebranche mullet,Mugilidae,benthic,species,"152","57","453","2.51","0.46","11.24","0.464","0.221","1.025","19.8","18.3","21.2","60.8","21.7","208.2","6.03","1.72","21.87","1.73","0.83","4.23"
Mugil trichodon,Fantail mullet,Mugilidae,benthic,species,"205","69","608","3.16","0.59","15.54","0.548","0.242","1.334","20","18","21","42.5","14.4","140.4","8.9","2.4","36.0","2.19","1.03","5.38"
Mulloidichthys martinicus,Yellow goatfish,Mullidae,benthic,species,"29.6","13.3","56.9","0.508","0.238","0.895","0.218","0.126","0.415","19.3","17.5","21.1","15.4","8.0","29.7","47.6","15.2","179.0","0.768","0.467","1.155"
Mullus argentinae,Argentine goatfish,Mullidae,benthic,species,"106","59","224","0.511","0.202","1.904","0.737","0.445","1.224","19.3","18.3","20.2","15.4","7.0","35.3","15.8","5.2","57.0","0.253","0.164","0.577"
Mustelus canis,Dusky smooth-hound,Triakidae,benthic,species,"11.3","3.4","64.4","0.387","0.113","1.502","0.145","0.056","0.365","21.5","19.2","23.9","52.1","14.6","197.9","7.62","2.46","23.67","0.793","0.339","1.664"
Mustelus schmitti,Narrownose smooth-hound,Triakidae,benthic,species,"22.3","6.0","110.4","0.517","0.160","1.927","0.143","0.059","0.338","21.7","19.4","24.0","38.2","11.0","135.0","7.36","2.55","20.30","0.638","0.282","1.271"
Mycteroperca acutirostris,Comb grouper,Epinephelidae,pelagic,species,"17.2","9.2","35.0","0.522","0.268","0.914","0.178","0.103","0.312","19","17","21","16.9","7.9","36.4","64.4","20.6","226.8","0.668","0.440","1.027"
Mycteroperca bonaci,Black grouper,Epinephelidae,pelagic,species,"10.6","6.2","22.4","0.455","0.225","0.794","0.222","0.129","0.386","19.5","17.6","21.1","27.9","14.5","53.2","43.2","14.9","149.7","0.414","0.279","0.638"
Mycteroperca interstitialis,Yellowmouth grouper,Epinephelidae,pelagic,species,"12.7","7.2","26.6","0.445","0.222","0.786","0.22","0.13","0.39","19.2","17.4","20.9","20.6","9.7","42.8","86.4","25.1","331.4","0.542","0.353","0.817"
Mycteroperca microlepis,Gag,Epinephelidae,pelagic,species,"11.5","6.4","24.2","0.464","0.235","0.829","0.214","0.122","0.378","19.5","17.6","21.1","24.6","12.6","49.8","38.1","11.4","150.0","0.57","0.38","0.89"
Mycteroperca tigris,Tiger grouper,Epinephelidae,pelagic,species,"13.3","7.5","27.5","0.455","0.229","0.802","0.192","0.110","0.338","19.4","17.6","21.1","16.8","7.6","35.7","71.6","22.0","263.4","0.511","0.329","0.788"
Mycteroperca venenosa,Yellowfin grouper,Epinephelidae,pelagic,species,"12.5","7.1","26.2","0.452","0.227","0.786","0.219","0.129","0.378","19.4","17.5","21.0","21.5","10.5","42.7","70.2","22.5","249.8","0.489","0.322","0.741"
Myliobatis freminvillei,Bullnose eagle ray,Myliobatidae,benthic,species,"17.7","3.0","78.8","0.619","0.159","1.673","0.259","0.074","0.765","21.5","16.5","26.6","23.1","6.7","60.5","10.5","4.4","24.4","0.737","0.363","1.334"
Myliobatis goodei,Southern eagle ray,Myliobatidae,benthic,species,"22.5","6.6","112.7","0.637","0.161","1.754","0.153","0.043","0.476","20.6","15.6","25.8","61.5","15.7","183.1","14.3","5.5","36.8","0.875","0.426","1.585"
Mylossoma duriventre,,Serrasalmidae,benthic,species,"110","51","257","1.53","0.77","3.44","0.393","0.149","1.113","17.7","15.7","19.8","89.5","34.0","207.2","28.6","9.3","83.5","1.84","1.23","2.68"
Myrichthys breviceps,Sharptail eel,Ophichthidae,benthic,species,"22.6","9.9","50.3","0.489","0.252","0.990","0.13","0.05","0.36","19.6","17.3","22.1","15.6","7.4","38.2","28.2","7.1","106.3","0.643","0.414","1.011"
Myrichthys ocellatus,Goldspotted eel,Ophichthidae,benthic,species,"32.1","17.1","53.7","0.471","0.278","0.983","0.0893","null","null","18.9","16.6","21.5","38.2","21.4","78.0","45","13","136","0.907","0.646","1.275"
Myripristis jacobus,Blackbar soldierfish,Holocentridae,benthic,species,"39.6","16.0","105.5","0.697","0.277","1.494","0.284","0.111","0.698","19.2","17.9","20.3","21.1","10.5","42.4","42.4","14.1","136.7","0.874","0.531","1.408"
Myrophis punctatus,Speckled worm-eel,Ophichthidae,benthic,family,"58.8","33.6","121.7","0.62","0.37","1.06","0.146","0.066","0.438","18.9","16.6","21.5","41.8","22.7","90.9","60.4","17.9","203.0","1.34","0.93","1.87"
Narcine brasiliensis,Brazilian electric ray,Narcinidae,benthic,species,"6.47","0.67","106.25","0.472","0.039","5.319","0.145","0.049","0.421","16.6","12.4","21.0","14.3","2.3","70.5","22.2","1.8","283.1","0.82","0.06","9.22"
Naucrates ductor,Pilotfish,Carangidae,pelagic,species,"53.5","24.2","150.1","1.83","0.82","3.87","0.235","0.085","0.623","20.4","18.9","21.9","61.3","21.5","188.7","7.63","1.58","39.34","0.869","0.481","1.541"
Nebris microps,Smalleye croaker,Sciaenidae,benthic,species,"149","88","281","1.07","0.56","1.82","0.237","0.127","0.390","19.2","18.1","20.2","48.9","27.6","91.6","19.1","7.7","51.7","1.31","0.96","1.85"
Negaprion brevirostris,Lemon shark,Carcharhinidae,benthic,species,"2.73","0.51","15.56","0.307","0.074","0.937","0.145","0.049","0.381","22.4","20.0","24.6","15.2","4.5","49.2","29.7","7.6","116.9","0.449","0.209","0.900"
Nemadactylus bergi,Castaneta,Latridae,benthic,species,"72.9","46.3","132.2","1","1","2","0.381","0.269","0.538","18.9","17.0","20.6","32.3","18.1","57.2","14.2","5.5","36.7","0.844","0.634","1.163"
Nemichthys scolopaceus,Slender snipe eel,Nemichthyidae,benthic,species,"19","6","42","0.295","0.130","0.805","0.177","0.057","0.572","18.3","15.8","21.0","34.9","11.9","103.1","9.08","1.04","75.23","0.379","0.201","0.745"
Nesiarchus nasutus,Black gemfish,Gempylidae,pelagic,species,"10.7","5.1","22.9","0.283","0.121","0.617","0.266","0.107","0.654","16.5","14.4","18.5","20.2","5.3","65.7","14.7","3.3","68.7","0.266","0.129","0.522"
Nettastoma melanura,Blackfin sorcerer,Nettastomatidae,pelagic,species,"12.3","2.9","50.7","0.319","0.093","1.082","0.172","0.056","0.548","18.2","15.8","20.8","15.7","4.0","65.6","13.5","1.5","108.4","0.42","0.19","1.05"
Nezumia aequalis,Common Atlantic grenadier,Macrouridae,benthic,species,"21.3","10.3","49.2","0.34","0.16","0.70","0.248","0.102","0.566","15.9","14.1","17.5","26.9","9.5","68.2","16.6","3.0","84.1","0.505","0.312","0.823"
Nicholsina usta,Emerald parrotfish,Scaridae,benthic,species,"58.2","34.4","108.5","0.767","0.420","1.278","0.118","0.071","0.190","18.5","16.5","20.3","39.3","22.3","70.8","50.4","15.4","165.1","1.75","1.20","2.74"
Notarius grandicassis,Thomas sea catfish,Ariidae,benthic,genus,"107","57","214","0.926","0.592","1.507","0.152","0.086","0.257","17","15","19","50.2","27.5","103.3","19","9","42","1.24","0.86","1.87"
Notarius luniscutis,,Ariidae,benthic,species,"41.8","21.8","91.0","0.66","0.39","1.14","0.229","0.119","0.448","16.9","15.2","18.9","74.8","37.6","156.9","21.3","7.6","57.8","1.12","0.74","1.78"
Notarius phrygiatus,Kukwari sea catfish,Ariidae,benthic,genus,"155","84","323","1.06","0.68","1.74","0.171","0.096","0.297","17","15","19","43.4","23.5","90.3","24.7","11.5","53.8","1.4","1.0","2.1"
Notarius quadriscutis,Bressou sea catfish,Ariidae,benthic,species,"85.4","43.1","173.7","0.769","0.461","1.295","0.166","0.089","0.317","16.2","14.6","18.1","67.3","33.7","136.1","29.3","12.1","71.0","1.44","0.97","2.25"
Notarius rugispinis,Softhead sea catfish,Ariidae,benthic,species,"138","75","277","1.04","0.67","1.68","0.153","0.087","0.259","16.8","15.3","18.6","48.8","27.1","95.0","19.1","9.3","40.0","1.45","1.02","2.16"
Notorynchus cepedianus,Broadnose sevengill shark,Hexanchidae,pelagic,species,"13.3","2.9","63.2","0.671","0.165","1.979","0.275","0.123","0.632","20.1","17.9","22.2","43.1","11.1","117.0","5.25","1.65","16.47","0.328","0.161","0.626"
Notoscopelus resplendens,Patchwork lampfish,Myctophidae,pelagic,species,"95.4","25.1","258.5","0.528","0.190","1.695","0.331","0.109","0.968","16.3","14.5","18.1","14.8","4.2","47.5","91.8","10.8","815.0","0.875","0.437","1.909"
Ocyurus chrysurus,Yellowtail snapper,Lutjanidae,pelagic,species,"13.5","7.7","25.9","0.473","0.242","0.840","0.207","0.117","0.352","19.5","17.6","21.1","22.4","11.0","44.1","69.2","21.7","245.3","0.572","0.377","0.858"
Odontaspis ferox,Smalltooth sand tiger,Odontaspididae,pelagic,species,"2.12","0.49","12.27","0.217","0.051","0.701","0.34","0.14","0.81","18.4","16.0","20.8","26.9","7.0","81.4","6.46","1.47","28.36","0.187","0.092","0.357"
Odontesthes bonariensis,Argentinian silverside,Atherinopsidae,pelagic,species,"114","67","217","1.57","0.90","2.57","0.284","0.129","0.706","19.5","17.2","22.2","22.1","9.9","46.3","6.4","2.1","20.1","1.19","0.84","1.68"
Odontesthes incisa,,Atherinopsidae,benthic,genus,"299","139","659","1.78","0.95","3.15","0.386","0.165","1.011","19.3","17.1","21.9","18.8","8.0","44.6","16.5","5.6","48.5","1.48","0.94","2.18"
Odontognathus mucronatus,Guiana longfin herring,Pristigasteridae,pelagic,genus,"195","123","416","1.5","0.9","2.5","0.259","0.128","0.505","18.5","17.0","19.9","34","16","75","48","18","117","1.77","1.23","2.44"
Odontoscion dentex,Reef croaker,Sciaenidae,pelagic,genus,"67.6","34.6","114.9","0.739","0.357","1.217","0.13","0.07","0.21","19.4","18.1","20.8","28.2","16.9","54.9","123","40","398","1.2","0.8","1.7"
Ogcocephalus nasutus,Shortnose batfish,Ogcocephalidae,benthic,species,"34.4","16.5","64.1","0.504","0.278","0.873","0.116","0.044","0.286","18.7","16.2","21.9","46.2","22.4","101.9","69.1","17.5","279.8","1.04","0.67","1.54"
Ogcocephalus parvus,Roughback batfish,Ogcocephalidae,benthic,genus,"86","42","177","0.701","0.378","1.241","0.139","0.052","0.347","18.6","16.1","21.8","28.6","12.1","65.1","126","34","489","1.42","0.91","2.18"
Ogcocephalus vespertilio,Seadevil,Ogcocephalidae,benthic,species,"41.5","20.1","76.7","0.536","0.298","0.916","0.114","0.044","0.276","18.6","16.2","21.9","39.7","19.2","85.9","76.4","20.2","300.4","1.12","0.73","1.65"
Oligoplites saliens,Castin leatherjacket,Carangidae,pelagic,species,"105","71","257","1.22","0.74","2.31","0.244","0.129","0.468","18.5","17.4","19.7","50.3","27.3","96.0","34.7","10.7","88.7","1.2","0.9","1.7"
Oligoplites saurus,Leatherjacket,Carangidae,pelagic,species,"43.3","17.4","91.0","0.907","0.475","1.732","0.275","0.157","0.475","20.7","19.6","21.8","13.3","6.0","26.5","63.6","18.5","220.9","0.738","0.467","1.117"
Oligosarcus hepsetus,,Characidae,pelagic,species,"68.1","18.5","168.3","1.55","0.81","3.65","0.843","0.346","2.269","19.2","17.2","21.4","33.5","13.3","74.1","46.9","15.2","140.5","0.957","0.665","1.374"
Oligosarcus jenynsii,,Characidae,pelagic,species,"66.8","17.7","163.7","1.5","0.8","3.5","0.824","0.336","2.190","19.1","17.1","21.3","32.2","13.3","69.7","51","17","144","1","1","1"
Oncorhynchus mykiss,Rainbow trout,Salmonidae,benthic,species,"29.8","14.0","76.9","0.917","0.508","1.701","1.04","0.52","2.11","19.3","18.4","20.4","265","92","744","5.65","1.46","22.27","0.523","0.360","1.059"
Ophidion holbrookii,Band cusk-eel,Ophidiidae,benthic,genus,"65.9","37.4","107.1","0.702","0.430","1.171","0.114","0.069","0.203","16.8","14.3","19.4","37.5","20.7","78.1","124","44","327","1.16","0.82","1.60"
Ophioblennius atlanticus,,Blenniidae,pelagic,species,"85.2","45.3","132.6","0.738","0.452","1.163","0.126","0.081","0.199","18.4","17.3","19.5","27.4","16.0","51.2","93.1","27.5","311.3","2.03","1.42","2.81"
Ophioblennius macclurei,Redlip blenny,Blenniidae,benthic,genus,"115","61","188","0.847","0.518","1.364","0.136","0.086","0.219","18.3","17.2","19.4","25.8","14.8","49.0","107","31","353","2.32","1.60","3.25"
Opisthonema oglinum,Atlantic thread herring,Dorosomatidae,pelagic,species,"59.1","28.2","107.6","0.805","0.394","1.446","0.242","0.132","0.455","19.9","18.5","21.2","34.8","18.7","79.4","95.7","28.7","303.9","0.856","0.565","1.280"
Opistognathus aurifrons,Yellowhead jawfish,Opistognathidae,pelagic,species,"127","66","225","0.86","0.51","1.48","0.0953","null","null","17.9","16.7","19.0","28.1","12.6","60.7","222","67","762","2.13","1.39","3.07"
Oreochromis aureus,Blue tilapia,Cichlidae,pelagic,species,"20.5","7.9","95.6","1.09","0.53","2.43","0.216","0.110","0.456","17.9","16.4","19.7","59.4","31.1","114.4","8.08","1.98","29.17","1.68","0.99","3.97"
Oreochromis mossambicus,Mozambique tilapia,Cichlidae,pelagic,species,"22","8","101","1.05","0.52","2.32","0.197","0.097","0.429","17.9","16.4","19.7","43.3","23.9","82.5","10.8","2.6","38.7","1.82","1.07","4.29"
Oreochromis niloticus,Nile tilapia,Cichlidae,benthic,species,"40.6","5.6","397.5","3.21","1.27","7.98","0.144","0.021","1.033","17.7","15.8","19.6","279","33","2,176","0.877","0.050","12.397","5.76","1.85","10.72"
Orthopristis rubra,Corocoro grunt,Haemulidae,benthic,species,"138","28","266","1.08","0.57","2.05","0.252","0.130","0.434","18.8","17.0","20.6","49.8","28.8","90.9","19.4","9.1","38.7","1.3","0.9","1.8"
Osteoglossum bicirrhosum,Arawana,Osteoglossidae,benthic,species,"70.2","37.0","146.8","0.941","0.505","1.975","0.284","0.117","0.703","16.6","14.7","18.3","112","37","275","31.4","11.0","83.9","1.38","0.95","2.04"
